-40,-11,-46,7,-10,31,-73,-10,-79,53,-44,54,19,-79,-54,-32
6,-78,42,74,1,32,21,45,-2,38,-18,0,-59,-34,-7,42
-90,-52,-33,63,24,-22,-15,65,-83,35,3,32,49,57,53,6
52,-63,44,62,-61,24,39,55,-9,-57,-49,-11,-73,11,-58,16
35,-2,-50,-132,48,-21,46,-126,-71,-37,5,0,-1,63,47,13
63,70,58,-3,36,9,-52,9,-89,-72,26,7,-80,-34,-17,-32
54,72,-41,73,-71,-13,-16,-24,29,57,-25,45,7,66,-66,-16
-40,84,60,-52,-52,-1,-49,-37,37,35,80,-42,24,-16,-59,24
-60,-13,-15,7,6,-16,-23,-5,-75,15,-46,64,-71,-39,60,1
50,-25,-28,-23,19,84,-53,53,20,-13,-31,-58,-54,-12,-69,2
-12,-63,-20,-45,2,-5,-68,-39,-48,-16,-62,-29,-61,-28,40,65
-6,-59,-9,-23,-66,22,7,45,60,41,66,34,-40,-71,66,-70
21,-46,-40,16,-39,-17,-36,-18,44,-59,29,-60,-42,72,-16,30
-16,-4,-97,-87,-4,-6,-1,-128,-66,-69,110,-50,34,-54,4,-61
57,-27,-14,-64,1,-15,2,-97,-78,34,-35,16,-5,-36,53,52
-1,86,53,60,45,61,-20,-18,-28,-30,-12,62,-53,42,-44,-48
-49,-35,45,-56,34,61,16,47,-46,18,73,-64,6,77,17,-41
38,-32,-13,-56,-5,41,-19,8,33,-79,73,4,28,-36,-28,-51
0,17,11,-53,-45,-39,73,-98,-10,-7,-24,-31,-19,-16,17,-6
55,-4,39,25,-17,77,-73,67,-34,4,9,38,-28,-91,53,76
20,-22,22,2,-73,-48,41,10,65,-44,6,-1,-7,-4,34,-55
-68,-45,46,-67,43,-10,0,-64,13,38,56,-7,-69,-71,-23,-31
49,-40,-3,-136,-41,-33,-74,-153,27,-21,-15,22,37,31,-62,9
7,20,-43,-22,32,59,13,-50,-39,-6,27,-3,-46,-36,58,5
16,40,38,-2,34,66,56,-64,38,63,-8,50,-2,85,-65,-40
22,63,49,-7,0,36,40,-74,42,53,-10,-78,14,-52,56,50
22,42,52,27,-34,-35,-21,31,3,12,48,-66,27,71,-72,-17
39,8,-70,25,30,-48,-67,-51,81,-78,42,-28,-11,-75,49,-22
16,-93,30,70,-29,-30,1,26,-39,41,-72,-38,-8,6,-71,80
-81,4,-41,33,-79,23,55,2,8,-58,4,-41,57,14,-48,-26
-67,-3,53,-101,-60,-37,-63,-80,-56,-21,17,36,-66,22,-5,-45
-52,-26,-62,-5,-42,30,-2,-80,-41,-59,-38,-66,-38,21,-38,-24
5,21,44,15,11,-26,-70,-22,-61,-81,49,37,-30,62,0,-38
20,-34,23,11,-83,-22,22,-16,23,56,-15,-75,-26,69,-77,-88
46,-31,-44,39,63,11,-54,67,-28,-26,-47,38,1,-58,47,-23
-26,41,20,-52,-17,9,31,3,-20,-52,-5,-73,30,5,40,-77
33,7,62,62,-11,37,-47,43,-59,-31,-43,-32,-58,-26,-44,-33
68,38,83,-46,-20,-64,-45,3,10,14,-116,41,52,7,-3,-48
101,-71,12,72,41,-72,1,22,54,-46,-63,14,-75,-4,-77,13
23,-55,33,-53,43,-6,26,-50,19,-87,26,20,31,32,-21,-46
75,-81,-51,-94,-40,53,-68,-60,-16,28,29,-24,-41,-12,57,-44
13,-61,-42,-16,-51,5,66,21,-35,-101,-65,24,2,44,-4,-58
-73,76,-29,51,-53,-26,27,-27,38,14,49,7,-21,22,-64,-22
70,4,-22,-29,-22,-31,13,41,-70,48,-17,-8,18,13,13,27
-80,54,-14,-8,-7,1,7,47,-76,17,-15,2,-13,-55,-51,-1
-33,-37,-4,91,55,61,29,141,1,22,-85,-54,-61,41,33,81
-5,37,4,90,39,-118,-57,162,88,4,-207,-15,-70,86,17,82
-7,-43,10,83,-83,-83,58,178,58,-67,-178,-50,-21,100,39,-49
-71,-32,46,-108,-77,-76,13,-53,30,-34,-61,61,-39,-50,-4,-20
-45,-83,18,9,-25,-79,-52,-30,-68,4,-57,-45,2,-9,65,-81
-4,2,74,-56,-83,36,0,40,-92,2,-86,-11,-72,-39,-52,-68
31,36,39,-14,19,23,63,27,-20,-26,-21,-68,-33,1,-49,-3
23,47,43,-8,-71,-20,-8,4,43,-100,-83,27,-72,37,-31,54
-68,35,52,44,-83,30,-46,40,-2,21,77,-48,7,42,-72,-52
